"

",,,"Agosto 09, 2025 @ 11:50 ",,,
,,,,,,
" 
",,,,,,
,,,,,,
Num TPAF,Nome Consumidor,CNPJ Consumidor,,Produto,Qtd Produto (Kg)
,,,,,,
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,ALFACE,240
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,BOLO,2.232
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,CARNE BOVINA,2.236
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,CARNE SUINA,3.790
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,CEBOLINHA,218
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,COENTRO,72
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,FEIJAO,400
CE/2025/02/0001,ASSOCIAÇÃO JATOBA..,04.977.699/0001-03,,QUEIJO,220
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,ALFACE,161
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,BOLO,3.720
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,CARNE BOVINA,2.680
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,CARNE SUINA,4.548
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,CEBOLINHA,252
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,COENTRO,240
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,FEIJAO,400
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,QUEIJO,220
CE/2025/02/0001,ASSOCIAÇÃO SOCIOCULTURA....,02.013.466/0001-57,,TILAPIA,718
CE/2025/02/0001,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,BOLO,6.037
CE/2025/02/0001,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,CARNE BOVINA,3.124
CE/2025/02/0001,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,CARNE SUINA,6.822
CE/2025/02/0001,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,CEBOLINHA,72
CE/2025/02/0001,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,COENTRO,192
CE/2025/02/0001,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,FEIJAO,451
CE/2025/02/0002,CONSELHO ESCOLAR DA..,01.976.229/0001-29,,CARNE BOVINA,4.824
CE/2025/02/0003,SECRETARIA DA EDUCACAO,07.954.514/0199-00,,CARNE BOVINA,9.334
CE/2025/02/0003,SECRETARIA DA EDUCACAO,07.954.514/0199-00,,CARNE SUINA,1.137
CE/2025/02/0003,SECRETARIA DA EDUCACAO,07.954.514/0199-00,,QUEIJO,440
CE/2025/02/0004,CONSELHO ESCOLAR DA..,14.213.451/0001-11,,BOLO DE MILHO,744
